d,trial,per_add,num_add,user1_cohortId,user2_cohortId,match
500,620,0.02,10,15870,14924,0
500,620,0.05,25,15870,14924,0
500,620,0.1,50,15870,15870,1
500,620,0.2,100,15870,15866,0
500,620,0.3,150,15870,15870,1
500,620,0.5,250,15870,15921,0
500,621,0.01,5,15937,1033,0
500,621,0.02,10,15937,15937,1
500,621,0.05,25,15937,15929,0
500,621,0.1,50,15937,15929,0
500,621,0.2,100,15937,15929,0
500,621,0.3,150,15937,15921,0
500,621,0.5,250,15937,12143,0
500,622,0.01,5,10669,10669,1
500,622,0.02,10,10669,10477,0
500,622,0.05,25,10669,10671,0
500,622,0.1,50,10669,10525,0
500,622,0.2,100,10669,10669,1
500,622,0.3,150,10669,2959,0
500,622,0.5,250,10669,27174,0
500,623,0.01,5,17023,17023,1
500,623,0.02,10,17023,17023,1
500,623,0.05,25,17023,17022,0
500,623,0.1,50,17023,17023,1
500,623,0.2,100,17023,17021,0
500,623,0.3,150,17023,17020,0
500,623,0.5,250,17023,17020,0
500,624,0.01,5,14936,14936,1
500,624,0.02,10,14936,14936,1
500,624,0.05,25,14936,3433,0
500,624,0.1,50,14936,16700,0
500,624,0.2,100,14936,135,0
500,624,0.3,150,14936,12933,0
500,624,0.5,250,14936,18747,0
500,625,0.01,5,3032,1809,0
500,625,0.02,10,3032,2943,0
500,625,0.05,25,3032,961,0
500,625,0.1,50,3032,2577,0
500,625,0.2,100,3032,2995,0
500,625,0.3,150,3032,7598,0
500,625,0.5,250,3032,16796,0
500,626,0.01,5,33282,33282,1
500,626,0.02,10,33282,33282,1
500,626,0.05,25,33282,27474,0
500,626,0.1,50,33282,27938,0
500,626,0.2,100,33282,14341,0
500,626,0.3,150,33282,27229,0
500,626,0.5,250,33282,33751,0
500,627,0.01,5,7039,6619,0
500,627,0.02,10,7039,4561,0
500,627,0.05,25,7039,6619,0
500,627,0.1,50,7039,6619,0
500,627,0.2,100,7039,7039,1
500,627,0.3,150,7039,14010,0
500,627,0.5,250,7039,12032,0
500,628,0.01,5,16126,16124,0
500,628,0.02,10,16126,16126,1
500,628,0.05,25,16126,16130,0
500,628,0.1,50,16126,16126,1
500,628,0.2,100,16126,16066,0
500,628,0.3,150,16126,20682,0
500,628,0.5,250,16126,16068,0
500,629,0.01,5,14996,18849,0
500,629,0.02,10,14996,14996,1
500,629,0.05,25,14996,18842,0
500,629,0.1,50,14996,14996,1
500,629,0.2,100,14996,14881,0
500,629,0.3,150,14996,18649,0
